issue,created_at,closed_at
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/500,2020-08-01 22:29:32,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/499,2020-08-01 15:19:27,2020-08-01 15:19:49
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/498,2020-07-31 17:24:43,2020-07-31 17:46:04
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/497,2020-07-30 18:50:47,2020-07-30 19:53:55
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/497,2020-07-30 19:40:33,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/497,2020-07-30 19:46:44,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/497,2020-07-30 19:48:06,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/496,2020-07-30 13:32:09,2020-07-30 15:17:32
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/495,2020-07-30 00:59:27,2020-07-30 01:34:45
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/495,2020-07-30 01:20:31,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/495,2020-07-30 01:24:58,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/495,2020-07-30 01:34:45,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/494,2020-07-29 18:16:44,2020-07-29 18:20:33
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/494,2020-07-29 18:20:32,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/494,2020-07-29 20:08:29,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/494,2020-07-29 20:15:09,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/494,2020-07-29 20:19:56,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/493,2020-07-29 17:04:09,2020-07-29 18:08:11
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/492,2020-07-29 05:56:32,2020-07-31 20:41:47
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/492,2020-07-31 17:47:56,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/492,2020-07-31 21:10:42,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/492,2020-07-31 21:24:57,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/491,2020-07-29 02:26:23,2020-07-29 02:26:31
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/490,2020-07-28 22:01:17,2020-07-28 22:01:27
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/489,2020-07-28 15:57:39,2020-07-28 16:48:31
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/488,2020-07-28 15:28:18,2020-07-28 15:31:01
